complexity,loss,equation,score,sympy_format,lambda_format,Filename
15,0.0010878592,E_n_var / ((((theta_var - 0.57113665) / c_var) / ((c_var * m_var) / E_n_var)) + 0.99221003),1.729816556711474,E_n_var/(0.99221003 + (theta_var - 1*0.57113665)/(c_var*((c_var*m_var/E_n_var)))),PySRFunction(X=>E_n_var/(0.99221003 + (theta_var - 1*0.57113665)/(c_var*((c_var*m_var/E_n_var))))),test_8
3,139.3268,30.108976 / q_var,0.21791617266448346,30.108976/q_var,PySRFunction(X=>30.108976/q_var),test_12
5,0.16542304,(0.8605824 - alpha_var) * d_var,1.1977286285794129,d_var*(0.8605824 - alpha_var),PySRFunction(X=>d_var*(0.8605824 - alpha_var)),test_3
4,0.071029395,sqrt(15.004913 / m_var),1.098624654364069,3.87361755985281*sqrt(1/m_var),PySRFunction(X=>3.87361755985281*sqrt(1/m_var)),test_4
10,0.00010102026,(-0.05711812 / (-0.5430121 - sin(d_var * 0.50317043))) / alpha_var,0.3122484865026502,-0.05711812/(alpha_var*(-sin(d_var*0.50317043) - 0.5430121)),PySRFunction(X=>-0.05711812/(alpha_var*(-sin(d_var*0.50317043) - 0.5430121))),test_13
19,305.39325,(m_var * 0.50021505) * ((omega_var * (x_var * x_var)) * (omega_var + (alpha_var / (y_var / (x_var * omega_var))))),2.1213709640497216,m_var*0.50021505*omega_var*x_var*x_var*(alpha_var/((y_var/((omega_var*x_var)))) + omega_var),PySRFunction(X=>m_var*0.50021505*omega_var*x_var*x_var*(alpha_var/((y_var/((omega_var*x_var)))) + omega_var)),test_17
13,54.63052,((((5.286437 / m_var) ^ (omega_0_var / omega_var)) / c_var) / 0.6193766) / c_var,0.6442889431491253,(5.286437/m_var)**(omega_0_var/omega_var)/(0.6193766*c_var*c_var),PySRFunction(X=>(5.286437/m_var)**(omega_0_var/omega_var)/(0.6193766*c_var*c_var)),test_20
7,65.6823,(H_G_var * (alpha_var * 0.33345222)) * r_var,0.16194100204322967,H_G_var*alpha_var*0.33345222*r_var,PySRFunction(X=>H_G_var*alpha_var*0.33345222*r_var),test_19
12,6998876.5,(exp(m1_var / r_var) / ((c_var / G_var) ^ m2_var)) / -0.007995052,0.59840737226223,exp(m1_var/r_var)/((-0.007995052)*((c_var/G_var)**m2_var)),PySRFunction(X=>exp(m1_var/r_var)/((-0.007995052)*((c_var/G_var)**m2_var))),test_9
7,0.31545395,H_G_var * ((r_var / k_f_var) * 0.19922708),0.14469050369397615,H_G_var*r_var*0.19922708/k_f_var,PySRFunction(X=>H_G_var*r_var*0.19922708/k_f_var),test_18
12,0.96766376,((cos((theta2_var - theta1_var) * 1.0059394) + 0.6257042) * 4.2148466) / L_var,0.7729979341015154,(cos((-theta1_var + theta2_var)*1.0059394) + 0.6257042)*4.2148466/L_var,PySRFunction(X=>(cos((-theta1_var + theta2_var)*1.0059394) + 0.6257042)*4.2148466/L_var),test_2
8,0.08337973,(cos(theta_var * 1.0034176) * -0.55803955) + omega_var,0.9035887979879175,omega_var + cos(theta_var*1.0034176)*(-0.55803955),PySRFunction(X=>omega_var + cos(theta_var*1.0034176)*(-0.55803955)),test_15
15,0.042879578,exp((L_var / (Z_2_var / sqrt(0.16551073 / Z_1_var))) / (q_var / (epsilon_var / q_var))),0.3209620431076023,exp(0.40683009967307*L_var*epsilon_var*sqrt(1/Z_1_var)/(Z_2_var*q_var**2)),PySRFunction(X=>exp(0.40683009967307*L_var*epsilon_var*sqrt(1/Z_1_var)/(Z_2_var*q_var**2))),test_6
12,0.0056259306,(d_var / sqrt(G_var / (d_var / (m2_var + m1_var)))) * 6.2844663,2.2494986593767705,6.2844663*d_var/sqrt(G_var*(m1_var + m2_var)/d_var),PySRFunction(X=>6.2844663*d_var/sqrt(G_var*(m1_var + m2_var)/d_var)),test_5
3,327.8302,c_var / 0.061160937,0.452394150791253,c_var/0.061160937,PySRFunction(X=>c_var/0.061160937),test_16
21,13.191541,(((alpha_var / E_n_var) / (E_n_var * 0.3897296)) / (theta_var + -0.87873733)) * ((Z_1_var * ((hbar_var * Z_2_var) * c_var)) + -1.860114),0.3381570803076532,alpha_var*(Z_1_var*Z_2_var*c_var*hbar_var - 1.860114)/(E_n_var*((E_n_var*0.3897296))*(theta_var - 0.87873733)),PySRFunction(X=>alpha_var*(Z_1_var*Z_2_var*c_var*hbar_var - 1.860114)/(E_n_var*((E_n_var*0.3897296))*(theta_var - 0.87873733))),test_1
5,0.3894622,n_var / (delta_var / I_0_var),0.5543778789622207,n_var/((delta_var/I_0_var)),PySRFunction(X=>n_var/((delta_var/I_0_var))),test_11
6,0.014790065,2.8430336 * sqrt(rho_var * G_var),1.976677339917077,2.8430336*sqrt(G_var*rho_var),PySRFunction(X=>2.8430336*sqrt(G_var*rho_var)),test_7
10,0.0014592009,sqrt((((v_var / c_var) + theta2_var) + -0.8742145) * 3.638389),0.7955182010730887,sqrt(3.638389*theta2_var - 3.1807324204405 + 3.638389*v_var/c_var),PySRFunction(X=>sqrt(3.638389*theta2_var - 3.1807324204405 + 3.638389*v_var/c_var)),test_10
20,7.3474607,cos(theta_var / 0.99853176) * (Ef_var * ((0.57239777 / (((r_var / d_var) / alpha_var) / (d_var - r_var))) - 2.2084303)),0.6320260135198829,Ef_var*(-1*2.2084303 + 0.57239777/((r_var/(alpha_var*d_var*(d_var - r_var)))))*cos(theta_var/0.99853176),PySRFunction(X=>Ef_var*(-1*2.2084303 + 0.57239777/((r_var/(alpha_var*d_var*(d_var - r_var)))))*cos(theta_var/0.99853176)),test_14
