complexity,loss,equation,score,sympy_format,lambda_format,Filename
15,0.0052399742,(E_n_var + 0.4605457) / (1.176515 - (-0.60459524 / ((c_var + -0.6949168) * (m_var / theta_var)))),0.7150302031026989,(E_n_var + 0.4605457)/(1.176515 - (-1)*0.60459524/(m_var*(c_var - 0.6949168)/theta_var)),PySRFunction(X=>(E_n_var + 0.4605457)/(1.176515 - (-1)*0.60459524/(m_var*(c_var - 0.6949168)/theta_var))),test_8
3,139.33247,29.973097 / q_var,0.21789582523444537,29.973097/q_var,PySRFunction(X=>29.973097/q_var),test_12
5,0.16542256,d_var * (0.8601897 - alpha_var),1.1977318422734133,d_var*(0.8601897 - alpha_var),PySRFunction(X=>d_var*(0.8601897 - alpha_var)),test_3
4,0.071027964,3.8711026 / sqrt(m_var),1.0986606158835952,3.8711026/sqrt(m_var),PySRFunction(X=>3.8711026/sqrt(m_var)),test_4
10,0.00010405535,0.046551846 / (alpha_var * (0.61215 ^ cos(d_var / 1.0048279))),0.28642493199525365,0.046551846/((0.61215**cos(d_var/1.0048279)*alpha_var)),PySRFunction(X=>0.046551846/((0.61215**cos(d_var/1.0048279)*alpha_var))),test_13
19,17356.703,(x_var + -1.3782548) * ((((m_var * ((y_var * 0.25364444) ^ -0.8876807)) * (x_var * omega_var)) * omega_var) * alpha_var),0.725043498519608,alpha_var*m_var*omega_var*omega_var*x_var*(x_var - 1.3782548)/(y_var*0.25364444)**0.8876807,PySRFunction(X=>alpha_var*m_var*omega_var*omega_var*x_var*(x_var - 1.3782548)/(y_var*0.25364444)**0.8876807),test_17
25,10.084441,(omega_0_var * (((h_var / m_var) * (((((h_var / c_var) * (alpha_var * 1.3664681)) * (omega_0_var / omega_var)) / c_var) / m_var)) / omega_var)) / omega_var,0.674145900620426,omega_0_var*h_var*h_var*alpha_var*1.3664681*omega_0_var/(m_var*c_var*omega_var*c_var*m_var*omega_var*omega_var),PySRFunction(X=>omega_0_var*h_var*h_var*alpha_var*1.3664681*omega_0_var/(m_var*c_var*omega_var*c_var*m_var*omega_var*omega_var)),test_20
7,65.686455,(H_G_var * r_var) * (alpha_var * 0.33216527),0.16190942858105362,H_G_var*r_var*alpha_var*0.33216527,PySRFunction(X=>H_G_var*r_var*alpha_var*0.33216527),test_19
17,2552896.0,(exp((7.253916 / r_var) / c_var) * ((G_var ^ m1_var) * 7.253916)) * (sin(m2_var) + -1.0497427),0.6666428462222863,exp(7.253916/(c_var*r_var))*G_var**m1_var*7.253916*(sin(m2_var) - 1.0497427),PySRFunction(X=>exp(7.253916/(c_var*r_var))*G_var**m1_var*7.253916*(sin(m2_var) - 1.0497427)),test_9
7,0.315467,r_var * (H_G_var * (0.19885746 / k_f_var)),0.14464927274544873,r_var*H_G_var*0.19885746/k_f_var,PySRFunction(X=>r_var*H_G_var*0.19885746/k_f_var),test_18
12,2.5499413,1.4587003 / (L_var - (sin((theta2_var / theta1_var) / -0.61711407) * -0.9091199)),0.10128993286657793,1.4587003/(L_var - (-0.9091199)*sin(theta2_var/((-0.61711407)*theta1_var))),PySRFunction(X=>1.4587003/(L_var - (-0.9091199)*sin(theta2_var/((-0.61711407)*theta1_var)))),test_2
8,0.08348794,omega_var + (cos(theta_var / 0.9923019) * -0.5726274),0.9171789446808375,omega_var + cos(theta_var/0.9923019)*(-0.5726274),PySRFunction(X=>omega_var + cos(theta_var/0.9923019)*(-0.5726274)),test_15
28,0.0067072706,((log(E_n_var * 2.037645) / ((((m_var * 0.4870439) + 0.7908182) * (((Z_2_var * q_var) * Z_1_var) / (epsilon_var / q_var))) - 0.3648323)) + (0.86400884 / L_var)) * L_var,0.32889327028344506,L_var*(log(2.037645*E_n_var)/(Z_1_var*Z_2_var*q_var**2*(0.4870439*m_var + 0.7908182)/epsilon_var - 0.3648323) + 0.86400884/L_var),PySRFunction(X=>L_var*(log(2.037645*E_n_var)/(Z_1_var*Z_2_var*q_var**2*(0.4870439*m_var + 0.7908182)/epsilon_var - 0.3648323) + 0.86400884/L_var)),test_6
