complexity,loss,equation,score,sympy_format,lambda_format,Filename
7,1.6004287e-05,(alpha_var / d_var) * (6.2831845 / n_var),5.897749948133594,alpha_var*6.2831845/(d_var*n_var),PySRFunction(X=>alpha_var*6.2831845/(d_var*n_var)),III.15.27
3,0.6019037,T_var * kb_var,1.8819450765959058,T_var*kb_var,PySRFunction(X=>T_var*kb_var),III.4.33
11,1.1240833,(m_var * (omega_var + (omega_0_var + -1.832681))) * (x_var * x_var),1.8955594082950902,m_var*x_var*x_var*(omega_0_var + omega_var - 1.832681),PySRFunction(X=>m_var*x_var*x_var*(omega_0_var + omega_var - 1.832681)),I.24.6
14,12.129374,((Ef_var / h_var) * 6.8540554) * ((p_d_var * t_var) ^ cos(omega_var - omega_0_var)),0.5540143793262947,Ef_var*6.8540554*(p_d_var*t_var)**cos(-omega_0_var + omega_var)/h_var,PySRFunction(X=>Ef_var*6.8540554*(p_d_var*t_var)**cos(-omega_0_var + omega_var)/h_var),III.9.52
6,0.01013035,omega_0_var * exp(v_var / c_var),3.2032461844026203,omega_0_var*exp(v_var/c_var),PySRFunction(X=>omega_0_var*exp(v_var/c_var)),I.34.14
7,0.003296181,((B_var * 12.566363) / h_var) * mom_var,5.892911928955253,B_var*12.566363*mom_var/h_var,PySRFunction(X=>B_var*12.566363*mom_var/h_var),III.7.38
8,4.39288e-05,cos(theta_var) * (-0.0001354292 - (B_var * mom_var)),5.874669434951516,(-B_var*mom_var - 0.0001354292)*cos(theta_var),PySRFunction(X=>(-B_var*mom_var - 0.0001354292)*cos(theta_var)),II.15.4
17,0.0037186258,omega_var / (c_var / ((((T_var / (0.30486068 / kb_var)) - h_var) * 0.030712342) * (omega_var / c_var))),2.0439832524937103,omega_var/((c_var/(((T_var/((0.30486068/kb_var)) - h_var)*0.030712342*omega_var/c_var)))),PySRFunction(X=>omega_var/((c_var/(((T_var/((0.30486068/kb_var)) - h_var)*0.030712342*omega_var/c_var))))),I.41.16
4,13.503774,sin(F_var) / 0.11077205,1.1318974440737188,sin(F_var)/0.11077205,PySRFunction(X=>sin(F_var)/0.11077205),I.18.12
13,4.81127e-08,(q_var / ((omega_0_var * omega_0_var) - (omega_var * omega_var))) * (Ef_var / m_var),8.611824128790154,Ef_var*q_var/(m_var*(omega_0_var*omega_0_var - omega_var*omega_var)),PySRFunction(X=>Ef_var*q_var/(m_var*(omega_0_var*omega_0_var - omega_var*omega_var))),II.11.3
13,5.0936175e-09,c_var * ((0.07957696 / ((c_var - v_var) * (r_var / q_var))) / epsilon_var),9.243808470394653,c_var*0.07957696/((r_var*(c_var - v_var)/q_var)*epsilon_var),PySRFunction(X=>c_var*0.07957696/((r_var*(c_var - v_var)/q_var)*epsilon_var)),II.21.32
16,1.0226426e-09,(p_d_var / r_var) * (((0.11936584 / epsilon_var) * sin(theta_var + theta_var)) / (r_var * r_var)),3.8719842861484395,p_d_var*0.11936584*sin(theta_var + theta_var)/(r_var*epsilon_var*(r_var*r_var)),PySRFunction(X=>p_d_var*0.11936584*sin(theta_var + theta_var)/(r_var*epsilon_var*(r_var*r_var))),II.6.15b
11,0.08933057,(Jz_var * (((B_var * 6.283215) / h_var) * mom_var)) * g__var,5.878064620641786,Jz_var*B_var*6.283215*mom_var*g__var/h_var,PySRFunction(X=>Jz_var*B_var*6.283215*mom_var*g__var/h_var),II.34.29b
5,0.0010884138,m_var * (g_var * z_var),6.203688707867608,g_var*m_var*z_var,PySRFunction(X=>g_var*m_var*z_var),I.14.3
22,0.0006554252,((m2_var * (((((r1_var / r2_var) ^ -0.664393) + 0.31170654) * log(r1_var / r2_var)) * m1_var)) / (r2_var / G_var)) / 1.3090383,1.6066043127037364,0.763919588907368*G_var*m1_var*m2_var*((r1_var/r2_var)**(-0.664393) + 0.31170654)*log(r1_var/r2_var)/r2_var,PySRFunction(X=>0.763919588907368*G_var*m1_var*m2_var*((r1_var/r2_var)**(-0.664393) + 0.31170654)*log(r1_var/r2_var)/r2_var),I.13.12
6,0.0003770604,m_0_var / cos(v_var / c_var),3.385300928601818,m_0_var/cos(v_var/c_var),PySRFunction(X=>m_0_var/cos(v_var/c_var)),I.10.7
3,0.00010657146,Ef_var * q2_var,6.176792791038724,Ef_var*q2_var,PySRFunction(X=>Ef_var*q2_var),I.12.5
7,0.00022210016,q_var * ((mu_drift_var / d_var) * Volt_var),12.25379104146138,Volt_var*mu_drift_var*q_var/d_var,PySRFunction(X=>Volt_var*mu_drift_var*q_var/d_var),I.43.16
8,4.4367418e-05,(0.00017064772 - (Ef_var * p_d_var)) * cos(theta_var),5.869926975726795,(0.00017064772 - Ef_var*p_d_var)*cos(theta_var),PySRFunction(X=>(0.00017064772 - Ef_var*p_d_var)*cos(theta_var)),II.15.5
10,0.0008141079,q_var * (((B_var * v_var) * sin(theta_var)) + Ef_var),5.898214427829871,q_var*(B_var*v_var*sin(theta_var) + Ef_var),PySRFunction(X=>q_var*(B_var*v_var*sin(theta_var) + Ef_var)),I.12.11
