complexity,loss,equation,score,sympy_format,lambda_format,Filename
7,0.0016115004,(alpha_var * (6.2836933 / n_var)) / d_var,3.5924030795064748,alpha_var*6.2836933/(n_var*d_var),PySRFunction(X=>alpha_var*6.2836933/(n_var*d_var)),III.15.27
3,0.6094991,kb_var * T_var,1.8759318896271664,T_var*kb_var,PySRFunction(X=>T_var*kb_var),III.4.33
23,0.10715622,((((((1.3718103 / omega_var) - (omega_0_var * (omega_0_var * -0.21106827))) + (omega_var / 0.7985271)) + -2.3416777) * x_var) * x_var) * (m_var * 1.1805625),1.3661897738931568,(-(-0.21106827)*omega_0_var*omega_0_var + omega_var/0.7985271 - 2.3416777 + 1.3718103/omega_var)*x_var*x_var*m_var*1.1805625,PySRFunction(X=>(-(-0.21106827)*omega_0_var*omega_0_var + omega_var/0.7985271 - 2.3416777 + 1.3718103/omega_var)*x_var*x_var*m_var*1.1805625),I.24.6
12,75.43023,((Ef_var / h_var) * 24.91172) ^ sin(omega_var / (omega_0_var / 1.469604)),0.154824605910271,(Ef_var*24.91172/h_var)**sin(omega_var/((omega_0_var/1.469604))),PySRFunction(X=>(Ef_var*24.91172/h_var)**sin(omega_var/((omega_0_var/1.469604)))),III.9.52
8,0.0052151796,omega_0_var * exp((v_var / c_var) * 1.0634798),2.2331112924147427,omega_0_var*exp(v_var*1.0634798/c_var),PySRFunction(X=>omega_0_var*exp(v_var*1.0634798/c_var)),I.34.14
7,0.34318763,(mom_var * (B_var * 12.569042)) / h_var,3.571037865236917,mom_var*B_var*12.569042/h_var,PySRFunction(X=>mom_var*B_var*12.569042/h_var),III.7.38
10,0.0043730517,(mom_var * (cos(theta_var * 1.0) * -1.000108)) * B_var,5.837748825460511,mom_var*cos(theta_var*1.0)*(-1.000108)*B_var,PySRFunction(X=>mom_var*cos(theta_var*1.0)*(-1.000108)*B_var),II.15.4
13,0.04338765,(kb_var * ((((T_var * omega_var) / c_var) / 10.695023) * omega_var)) / c_var,1.3969625435191664,T_var*kb_var*omega_var*omega_var/(10.695023*c_var*c_var),PySRFunction(X=>T_var*kb_var*omega_var*omega_var/(10.695023*c_var*c_var)),I.41.16
6,13.508738,sin(F_var / 1.0015283) * 9.056569,0.5850548095825184,sin(F_var/1.0015283)*9.056569,PySRFunction(X=>sin(F_var/1.0015283)*9.056569),I.18.12
17,2.5983525e-05,(((3.1499305 ^ (omega_var / omega_0_var)) * (q_var * Ef_var)) / omega_0_var) / (m_var * (omega_0_var * 1.3138222)),0.8814456641717816,3.1499305**(omega_var/omega_0_var)*Ef_var*q_var/(omega_0_var*((m_var*omega_0_var*1.3138222))),PySRFunction(X=>3.1499305**(omega_var/omega_0_var)*Ef_var*q_var/(omega_0_var*((m_var*omega_0_var*1.3138222)))),II.11.3
15,5.281715e-07,((((0.08160221 / ((c_var / v_var) + -0.9816055)) - -0.0789967) / epsilon_var) / r_var) * q_var,1.3817404160251918,q_var*(-1*(-0.0789967) + 0.08160221/(c_var/v_var - 0.9816055))/(epsilon_var*r_var),PySRFunction(X=>q_var*(-1*(-0.0789967) + 0.08160221/(c_var/v_var - 0.9816055))/(epsilon_var*r_var)),II.21.32
16,3.2723172e-05,(((p_d_var / r_var) / r_var) / epsilon_var) * ((0.10101373 / r_var) * cos(-7.190695 / theta_var)),0.42222288795771346,p_d_var*0.10101373*cos(-7.190695/theta_var)/(r_var*r_var*epsilon_var*r_var),PySRFunction(X=>p_d_var*0.10101373*cos(-7.190695/theta_var)/(r_var*r_var*epsilon_var*r_var)),II.6.15b
11,8.942189,((mom_var * B_var) / h_var) * (Jz_var * (g__var * 6.2836213)),3.5754205855222505,mom_var*B_var*Jz_var*g__var*6.2836213/h_var,PySRFunction(X=>mom_var*B_var*Jz_var*g__var*6.2836213/h_var),II.34.29b
5,0.107514895,(g_var * z_var) * m_var,3.907573484220657,g_var*m_var*z_var,PySRFunction(X=>g_var*m_var*z_var),I.14.3
13,0.008600392,(m1_var * (r1_var - r2_var)) * (m2_var * (G_var / (r1_var * r2_var))),3.5870834140592436,G_var*m1_var*m2_var*(r1_var - r2_var)/((r1_var*r2_var)),PySRFunction(X=>G_var*m1_var*m2_var*(r1_var - r2_var)/((r1_var*r2_var))),I.13.12
8,0.0011766184,m_0_var / cos(v_var / (c_var * 0.96074295)),0.9048000633009031,m_0_var/cos(v_var/((c_var*0.96074295))),PySRFunction(X=>m_0_var/cos(v_var/((c_var*0.96074295)))),I.10.7
3,0.010617383,q2_var * Ef_var,3.8761310872904913,Ef_var*q2_var,PySRFunction(X=>Ef_var*q2_var),I.12.5
9,0.022409018,(Volt_var * ((mu_drift_var / 0.9999516) * q_var)) / d_var,3.5823907446997203,Volt_var*mu_drift_var*q_var/(0.9999516*d_var),PySRFunction(X=>Volt_var*mu_drift_var*q_var/(0.9999516*d_var)),I.43.16
10,0.004402498,((Ef_var * -1.0000931) * p_d_var) * cos(theta_var * 1.0000134),3.5713501708064346,Ef_var*(-1.0000931)*p_d_var*cos(theta_var*1.0000134),PySRFunction(X=>Ef_var*(-1.0000931)*p_d_var*cos(theta_var*1.0000134)),II.15.5
14,0.079957426,q_var * ((v_var * (B_var * cos((1.5699695 - theta_var) * -0.9997075))) + Ef_var),2.569639745070631,q_var*(B_var*v_var*cos((1.5699695 - theta_var)*(-0.9997075)) + Ef_var),PySRFunction(X=>q_var*(B_var*v_var*cos((1.5699695 - theta_var)*(-0.9997075)) + Ef_var)),I.12.11
