complexity,loss,equation,score,sympy_format,lambda_format,Filename
7,0.0016367508,(alpha_var / n_var) * (6.283382 / d_var),3.584256471815876,alpha_var*6.283382/(n_var*d_var),PySRFunction(X=>alpha_var*6.283382/(n_var*d_var)),III.15.27
3,0.61183816,kb_var * T_var,1.8738735682463141,T_var*kb_var,PySRFunction(X=>T_var*kb_var),III.4.33
7,18.339169,((pressure_var - 29.065409) * x_var) * 0.8413884,1.3075724487495335,(pressure_var - 1*29.065409)*x_var*0.8413884,PySRFunction(X=>(pressure_var - 1*29.065409)*x_var*0.8413884),I.24.6
18,9.78309,Ef_var * ((((cos((omega_0_var - omega_var) * -1.1487322) * t_var) + 1.9498246) * (p_d_var / h_var)) * 3.1349056),0.519489927306093,Ef_var*(t_var*cos((omega_0_var - omega_var)*(-1.1487322)) + 1.9498246)*p_d_var*3.1349056/h_var,PySRFunction(X=>Ef_var*(t_var*cos((omega_0_var - omega_var)*(-1.1487322)) + 1.9498246)*p_d_var*3.1349056/h_var),III.9.52
8,0.0051639215,omega_0_var * exp((1.0647033 / c_var) * v_var),2.242368725757271,omega_0_var*exp(1.0647033*v_var/c_var),PySRFunction(X=>omega_0_var*exp(1.0647033*v_var/c_var)),I.34.14
7,0.33421415,B_var * (12.566691 / (h_var / mom_var)),3.2892544736347404,B_var*12.566691/(h_var/mom_var),PySRFunction(X=>B_var*12.566691/(h_var/mom_var)),III.7.38
10,0.0043280236,B_var * ((cos(theta_var / 1.0) / -1.0002111) * mom_var),3.520101428112383,B_var*mom_var*cos(theta_var/1.0)/(-1.0002111),PySRFunction(X=>B_var*mom_var*cos(theta_var/1.0)/(-1.0002111)),II.15.4
13,0.043294445,((T_var * 0.09332593) * (kb_var / c_var)) * (omega_var * (omega_var / c_var)),1.3976917794198478,T_var*0.09332593*kb_var*omega_var*omega_var/(c_var*c_var),PySRFunction(X=>T_var*0.09332593*kb_var*omega_var*omega_var/(c_var*c_var)),I.41.16
6,13.502474,sin(F_var * -0.99912256) * -9.011342,0.5901191852871625,sin(F_var*(-0.99912256))*(-9.011342),PySRFunction(X=>sin(F_var*(-0.99912256))*(-9.011342)),I.18.12
11,0.00047874823,((q_var * Ef_var) / (omega_0_var + -0.69276404)) / (omega_0_var * m_var),0.8011931520674773,Ef_var*q_var/(((m_var*omega_0_var))*(omega_0_var - 0.69276404)),PySRFunction(X=>Ef_var*q_var/(((m_var*omega_0_var))*(omega_0_var - 0.69276404))),II.11.3
7,0.00016274452,((0.109645344 / epsilon_var) * q_var) / r_var,0.8036445007044472,0.109645344*q_var/(epsilon_var*r_var),PySRFunction(X=>0.109645344*q_var/(epsilon_var*r_var)),II.21.32
7,0.00043577832,((0.19875969 / theta_var) - 0.13023217) / r_var,0.3568189288037511,(-1*0.13023217 + 0.19875969/theta_var)/r_var,PySRFunction(X=>(-1*0.13023217 + 0.19875969/theta_var)/r_var),II.6.15b
11,8.7934065,mom_var * (((Jz_var * 6.2834697) * B_var) * (g__var / h_var)),3.2469583165682154,mom_var*Jz_var*6.2834697*B_var*g__var/h_var,PySRFunction(X=>mom_var*Jz_var*6.2834697*B_var*g__var/h_var),II.34.29b
5,0.11050813,(m_var * g_var) * z_var,3.7740098039045313,g_var*m_var*z_var,PySRFunction(X=>g_var*m_var*z_var),I.14.3
13,0.0083439145,(((-0.99999887 / r1_var) - (-0.99999887 / r2_var)) * (G_var * m2_var)) * m1_var,3.612990770149382,G_var*m1_var*m2_var*(-(-1)*0.99999887/r2_var - 0.99999887/r1_var),PySRFunction(X=>G_var*m1_var*m2_var*(-(-1)*0.99999887/r2_var - 0.99999887/r1_var)),I.13.12
8,0.0012020567,m_0_var / cos(v_var / (c_var * -0.95981234)),0.8890448308748847,m_0_var/cos(v_var/((c_var*(-0.95981234)))),PySRFunction(X=>m_0_var/cos(v_var/((c_var*(-0.95981234))))),I.10.7
3,0.010699524,q2_var * Ef_var,3.8724307046157858,Ef_var*q2_var,PySRFunction(X=>Ef_var*q2_var),I.12.5
9,0.021902815,(Volt_var * ((mu_drift_var * 0.99997383) * q_var)) / d_var,3.211889231200376,Volt_var*mu_drift_var*0.99997383*q_var/d_var,PySRFunction(X=>Volt_var*mu_drift_var*0.99997383*q_var/d_var),I.43.16
10,0.004406679,(sin(4.71241 - (theta_var / 0.99993557)) * p_d_var) * Ef_var,3.5726639249725882,Ef_var*p_d_var*sin(4.71241 - theta_var/0.99993557),PySRFunction(X=>Ef_var*p_d_var*sin(4.71241 - theta_var/0.99993557)),II.15.5
20,6.664001,q_var * ((((theta_var - 3.0963044) * ((cos(theta_var * -0.9887339) * -1.655111) + B_var)) / (-1.5634403 / v_var)) + Ef_var),0.796821424278516,q_var*(Ef_var + (B_var + cos(theta_var*(-0.9887339))*(-1.655111))*(theta_var - 1*3.0963044)/((-1.5634403/v_var))),PySRFunction(X=>q_var*(Ef_var + (B_var + cos(theta_var*(-0.9887339))*(-1.655111))*(theta_var - 1*3.0963044)/((-1.5634403/v_var)))),I.12.11
