complexity,loss,equation,score,sympy_format,lambda_format,Filename
7,0.0016367513,((alpha_var / n_var) * 6.283302) / d_var,3.5842434209074985,alpha_var*6.283302/(n_var*d_var),PySRFunction(X=>alpha_var*6.283302/(n_var*d_var)),III.15.27
3,0.61183816,kb_var * T_var,1.8738735682463141,T_var*kb_var,PySRFunction(X=>T_var*kb_var),III.4.33
21,0.15488875,(((((1.0233406 / omega_var) + ((1.0664397 / omega_0_var) + ((omega_0_var + omega_var) + -3.6376543))) * x_var) * m_var) * x_var) * 1.4393637,0.989188468145573,(omega_0_var + omega_var - 3.6376543 + 1.0233406/omega_var + 1.0664397/omega_0_var)*x_var*m_var*x_var*1.4393637,PySRFunction(X=>(omega_0_var + omega_var - 3.6376543 + 1.0233406/omega_var + 1.0664397/omega_0_var)*x_var*m_var*x_var*1.4393637),I.24.6
21,52.00751,(t_var * ((Ef_var / (((((omega_0_var / (omega_var + 1.3542594)) ^ 17.47144) - -0.19276649) / p_d_var) * h_var)) / omega_var)) * omega_0_var,0.28038109508901937,Ef_var*omega_0_var*t_var/(omega_var*((h_var*((omega_0_var/(omega_var + 1.3542594))**17.47144 - 1*(-0.19276649))/p_d_var))),PySRFunction(X=>Ef_var*omega_0_var*t_var/(omega_var*((h_var*((omega_0_var/(omega_var + 1.3542594))**17.47144 - 1*(-0.19276649))/p_d_var)))),III.9.52
9,0.0044674096,((3.0981767 ^ (v_var / c_var)) * omega_0_var) + -0.10130068,1.1955193624103957,3.0981767**(v_var/c_var)*omega_0_var - 0.10130068,PySRFunction(X=>3.0981767**(v_var/c_var)*omega_0_var - 0.10130068),I.34.14
7,0.33421406,mom_var * (B_var / (h_var / 12.566736)),3.3253459702792822,B_var*mom_var/((h_var/12.566736)),PySRFunction(X=>B_var*mom_var/((h_var/12.566736))),III.7.38
10,0.004330048,(mom_var * B_var) * sin((-1.5711513 - theta_var) * 0.9999291),3.895274225246412,B_var*mom_var*sin((-theta_var - 1.5711513)*0.9999291),PySRFunction(X=>B_var*mom_var*sin((-theta_var - 1.5711513)*0.9999291)),II.15.4
13,0.043265652,(((kb_var / c_var) * (0.09361552 / c_var)) * (T_var * omega_var)) * omega_var,1.4029481461038924,kb_var*0.09361552*T_var*omega_var*omega_var/(c_var*c_var),PySRFunction(X=>kb_var*0.09361552*T_var*omega_var*omega_var/(c_var*c_var)),I.41.16
6,9.057045,sin(F_var * 0.9842503) * energy_var,0.9853000103438436,energy_var*sin(F_var*0.9842503),PySRFunction(X=>energy_var*sin(F_var*0.9842503)),I.18.12
15,7.1902185e-05,((-1.5867122 - omega_var) * ((Ef_var * (q_var / m_var)) / (omega_0_var + -2.1539757))) * -0.04337733,0.8935744170480944,(-omega_var - 1.5867122)*Ef_var*q_var*(-0.04337733)/(m_var*(omega_0_var - 2.1539757)),PySRFunction(X=>(-omega_var - 1.5867122)*Ef_var*q_var*(-0.04337733)/(m_var*(omega_0_var - 2.1539757))),II.11.3
10,5.4942797e-05,(q_var / epsilon_var) / (r_var / sqrt(0.07270538 / c_var)),0.8129913012185318,0.269639351727451*q_var*sqrt(1/c_var)/(epsilon_var*r_var),PySRFunction(X=>0.269639351727451*q_var*sqrt(1/c_var)/(epsilon_var*r_var)),II.21.32
9,0.00031862903,(((0.33737296 / theta_var) + -0.21510664) / r_var) / r_var,0.1729929560268905,(-0.21510664 + 0.33737296/theta_var)/(r_var*r_var),PySRFunction(X=>(-0.21510664 + 0.33737296/theta_var)/(r_var*r_var)),II.6.15b
7,10616.367,((energy_var * 18.90421) - 1150.577) / h_var,0.42305367920088927,(energy_var*18.90421 - 1*1150.577)/h_var,PySRFunction(X=>(energy_var*18.90421 - 1*1150.577)/h_var),II.34.29b
5,0.11050813,z_var * (m_var * g_var),3.7514282737338687,g_var*m_var*z_var,PySRFunction(X=>g_var*m_var*z_var),I.14.3
15,0.008342903,((m2_var * ((((r2_var - r1_var) * G_var) / r2_var) / r1_var)) * m1_var) * -1.0001152,3.59534983701722,m2_var*(-r1_var + r2_var)*G_var*m1_var*(-1.0001152)/(r2_var*r1_var),PySRFunction(X=>m2_var*(-r1_var + r2_var)*G_var*m1_var*(-1.0001152)/(r2_var*r1_var)),I.13.12
8,0.00409042,sqrt((v_var / c_var) + 0.82404095) * m_0_var,0.6462480890426705,m_0_var*sqrt(0.82404095 + v_var/c_var),PySRFunction(X=>m_0_var*sqrt(0.82404095 + v_var/c_var)),I.10.7
3,0.010699524,Ef_var * q2_var,3.8724307046157858,Ef_var*q2_var,PySRFunction(X=>Ef_var*q2_var),I.12.5
9,0.021902822,((mu_drift_var * Volt_var) * (q_var / d_var)) / 1.0000204,3.593466021958569,Volt_var*mu_drift_var*q_var/(1.0000204*d_var),PySRFunction(X=>Volt_var*mu_drift_var*q_var/(1.0000204*d_var)),I.43.16
10,0.004410025,(sin((-1.5697458 - theta_var) / 0.99973327) * p_d_var) * Ef_var,3.8862155802257075,Ef_var*p_d_var*sin((-theta_var - 1.5697458)/0.99973327),PySRFunction(X=>Ef_var*p_d_var*sin((-theta_var - 1.5697458)/0.99973327)),II.15.5
12,0.07780122,q_var * (Ef_var + ((v_var * sin(theta_var / 0.9998461)) * B_var)),3.3735746237554327,q_var*(B_var*v_var*sin(theta_var/0.9998461) + Ef_var),PySRFunction(X=>q_var*(B_var*v_var*sin(theta_var/0.9998461) + Ef_var)),I.12.11
