complexity,loss,equation,score,sympy_format,lambda_format,Filename
7,0.0016423899,((alpha_var / n_var) * 6.28351) / d_var,3.583104301117379,alpha_var*6.28351/(n_var*d_var),PySRFunction(X=>alpha_var*6.28351/(n_var*d_var)),III.15.27
3,0.61192405,kb_var * T_var,1.8738486665966378,T_var*kb_var,PySRFunction(X=>T_var*kb_var),III.4.33
17,0.055983692,(x_var * (omega_var + ((omega_0_var * omega_0_var) / omega_var))) * ((omega_var * x_var) * (m_var * 0.25000367)),1.5230560429195317,x_var*(omega_0_var*omega_0_var/omega_var + omega_var)*omega_var*x_var*m_var*0.25000367,PySRFunction(X=>x_var*(omega_0_var*omega_0_var/omega_var + omega_var)*omega_var*x_var*m_var*0.25000367),I.24.6
22,4.2804832,(6.322201 / (exp((omega_var - omega_0_var) / (4.9066243 / ((omega_var - omega_0_var) * t_var))) / Ef_var)) / ((h_var / p_d_var) / t_var),0.6242297669469752,6.322201/(((exp((-omega_0_var + omega_var)/((4.9066243/((t_var*(-omega_0_var + omega_var))))))/Ef_var))*((h_var/(p_d_var*t_var)))),PySRFunction(X=>6.322201/(((exp((-omega_0_var + omega_var)/((4.9066243/((t_var*(-omega_0_var + omega_var))))))/Ef_var))*((h_var/(p_d_var*t_var))))),III.9.52
7,0.00521315,omega_0_var / (0.3454049 ^ (v_var / c_var)),2.7843357275235823,omega_0_var/(0.3454049**(v_var/c_var)),PySRFunction(X=>omega_0_var/(0.3454049**(v_var/c_var))),I.34.14
7,0.33895844,mom_var * ((12.568472 / h_var) * B_var),3.576984141360373,mom_var*12.568472*B_var/h_var,PySRFunction(X=>mom_var*12.568472*B_var/h_var),III.7.38
10,0.0043405197,(B_var * mom_var) * sin((theta_var + 1.5705671) / -0.9999392),3.578729212992495,B_var*mom_var*sin((theta_var + 1.5705671)/(-0.9999392)),PySRFunction(X=>B_var*mom_var*sin((theta_var + 1.5705671)/(-0.9999392))),II.15.4
13,0.043423302,((omega_var * (omega_var * 0.09349319)) / (c_var / T_var)) * (kb_var / c_var),1.3965979306390959,omega_var*omega_var*0.09349319*kb_var/((c_var/T_var)*c_var),PySRFunction(X=>omega_var*omega_var*0.09349319*kb_var/((c_var/T_var)*c_var)),I.41.16
6,13.517179,sin(F_var / 1.0) * 9.034706,0.5849094284972057,sin(F_var/1.0)*9.034706,PySRFunction(X=>sin(F_var/1.0)*9.034706),I.18.12
13,4.6866326e-06,((q_var * Ef_var) / ((omega_0_var * omega_0_var) - (omega_var * omega_var))) / m_var,2.256656352714292,Ef_var*q_var/(m_var*(omega_0_var*omega_0_var - omega_var*omega_var)),PySRFunction(X=>Ef_var*q_var/(m_var*(omega_0_var*omega_0_var - omega_var*omega_var))),II.11.3
13,2.8405682e-06,(q_var / ((r_var * epsilon_var) / (4.7517743 ^ (v_var / c_var)))) * 0.07259027,2.7909873720234466,q_var*0.07259027/(epsilon_var*r_var/(4.7517743**(v_var/c_var))),PySRFunction(X=>q_var*0.07259027/(epsilon_var*r_var/(4.7517743**(v_var/c_var)))),II.21.32
16,1.0059753e-07,((((p_d_var / r_var) / r_var) / r_var) * 0.119387016) * (sin(2.000053 * theta_var) / epsilon_var),3.0633298711750383,p_d_var*0.119387016*sin(2.000053*theta_var)/(r_var*r_var*r_var*epsilon_var),PySRFunction(X=>p_d_var*0.119387016*sin(2.000053*theta_var)/(r_var*r_var*r_var*epsilon_var)),II.6.15b
11,8.877806,((g__var * 6.2831173) * mom_var) * (B_var / (h_var / Jz_var)),3.5788107210534585,g__var*6.2831173*mom_var*B_var/(h_var/Jz_var),PySRFunction(X=>g__var*6.2831173*mom_var*B_var/(h_var/Jz_var)),II.34.29b
5,0.111556105,z_var * (g_var * m_var),3.8892357171796377,g_var*m_var*z_var,PySRFunction(X=>g_var*m_var*z_var),I.14.3
13,0.008528327,((r1_var / r2_var) + -1.0000268) * ((m1_var / r1_var) * (m2_var * G_var)),3.6619660684295505,G_var*m1_var*m2_var*(r1_var/r2_var - 1.0000268)/r1_var,PySRFunction(X=>G_var*m1_var*m2_var*(r1_var/r2_var - 1.0000268)/r1_var),I.13.12
8,0.0011928474,m_0_var / cos((v_var / c_var) / -0.9601857),1.7882372187142321,m_0_var/cos(v_var/((-0.9601857)*c_var)),PySRFunction(X=>m_0_var/cos(v_var/((-0.9601857)*c_var))),I.10.7
3,0.010783112,Ef_var * q2_var,3.8682978279815163,Ef_var*q2_var,PySRFunction(X=>Ef_var*q2_var),I.12.5
9,0.022394868,(q_var * Volt_var) * ((mu_drift_var * 1.0) / d_var),3.5828414663963226,q_var*Volt_var*mu_drift_var*1.0/d_var,PySRFunction(X=>q_var*Volt_var*mu_drift_var*1.0/d_var),I.43.16
10,0.0043984866,((Ef_var * cos(theta_var * 1.0000105)) * p_d_var) * -0.9999175,5.818540420620001,Ef_var*cos(theta_var*1.0000105)*p_d_var*(-0.9999175),PySRFunction(X=>Ef_var*cos(theta_var*1.0000105)*p_d_var*(-0.9999175)),II.15.5
12,0.07904616,(Ef_var + ((B_var * sin(theta_var / 1.0000428)) * v_var)) * q_var,3.3658514560156134,q_var*(B_var*v_var*sin(theta_var/1.0000428) + Ef_var),PySRFunction(X=>q_var*(B_var*v_var*sin(theta_var/1.0000428) + Ef_var)),I.12.11
