complexity,loss,equation,score,sympy_format,lambda_format,Filename
14,0.008361472,(-0.25786185 / (((sqrt(m_var / E_n_var) / E_n_var) * c_var) / theta_var)) + E_n_var,0.4002833977223107,E_n_var - 0.25786185*E_n_var*theta_var/(c_var*sqrt(m_var/E_n_var)),PySRFunction(X=>E_n_var - 0.25786185*E_n_var*theta_var/(c_var*sqrt(m_var/E_n_var))),test_8
3,139.47987,30.168741 / q_var,0.21778798764081098,30.168741/q_var,PySRFunction(X=>30.168741/q_var),test_12
5,0.16555633,d_var * (0.86001605 - alpha_var),1.1976892641930996,d_var*(0.86001605 - alpha_var),PySRFunction(X=>d_var*(0.86001605 - alpha_var)),test_3
4,0.07078689,sqrt(14.992674 / m_var),1.100557977442624,3.87203744816602*sqrt(1/m_var),PySRFunction(X=>3.87203744816602*sqrt(1/m_var)),test_4
12,9.0419264e-05,((0.17682081 / alpha_var) / sin((d_var * 0.38796782) + 0.38367033)) / r_var,0.27444007509686463,0.17682081/(alpha_var*r_var*sin(d_var*0.38796782 + 0.38367033)),PySRFunction(X=>0.17682081/(alpha_var*r_var*sin(d_var*0.38796782 + 0.38367033))),test_13
19,311.43494,((m_var * ((alpha_var * (x_var / y_var)) - -1.0083745)) * (omega_var * x_var)) * ((omega_var * 0.4996827) * x_var),2.1109021942148005,m_var*(alpha_var*x_var/y_var - 1*(-1.0083745))*omega_var*x_var*omega_var*0.4996827*x_var,PySRFunction(X=>m_var*(alpha_var*x_var/y_var - 1*(-1.0083745))*omega_var*x_var*omega_var*0.4996827*x_var),test_17
10,135.54587,exp(((omega_0_var / omega_var) / m_var) / 0.56054986) * 0.56054986,0.5618175008533174,exp(omega_0_var/(0.56054986*m_var*omega_var))*0.56054986,PySRFunction(X=>exp(omega_0_var/(0.56054986*m_var*omega_var))*0.56054986),test_20
7,65.706635,(r_var * (alpha_var * 0.33755997)) * H_G_var,0.16179251438427447,r_var*alpha_var*0.33755997*H_G_var,PySRFunction(X=>r_var*alpha_var*0.33755997*H_G_var),test_19
13,1534475.5,m1_var - (((((m1_var + m2_var) * G_var) / r_var) / c_var) ^ 4.386876),2.399691696390248,m1_var - (G_var*(m1_var + m2_var)/(c_var*r_var))**4.386876,PySRFunction(X=>m1_var - (G_var*(m1_var + m2_var)/(c_var*r_var))**4.386876),test_9
7,0.31515673,r_var * ((H_G_var / k_f_var) * 0.20021728),0.14537033169185398,r_var*H_G_var*0.20021728/k_f_var,PySRFunction(X=>r_var*H_G_var*0.20021728/k_f_var),test_18
7,2.8397272,((m_var * k_G_var) / L_var) / L_var,0.08692785847173556,k_G_var*m_var/(L_var*L_var),PySRFunction(X=>k_G_var*m_var/(L_var*L_var)),test_2
8,0.08372335,omega_var + (cos(theta_var * 1.0110037) * -0.5380982),0.8671938129138774,omega_var + cos(theta_var*1.0110037)*(-0.5380982),PySRFunction(X=>omega_var + cos(theta_var*1.0110037)*(-0.5380982)),test_15
15,0.03304416,((1.0360582 / q_var) / ((Z_2_var / epsilon_var) / ((L_var / q_var) / Z_1_var))) + 0.8330301,0.6511741188225346,0.8330301 + 1.0360582/(q_var*((Z_2_var/(epsilon_var*((L_var/(Z_1_var*q_var))))))),PySRFunction(X=>0.8330301 + 1.0360582/(q_var*((Z_2_var/(epsilon_var*((L_var/(Z_1_var*q_var)))))))),test_6
16,0.053197313,(sqrt((d_var / m2_var) / m1_var) - (-1.4164481 / G_var)) * ((d_var * 2.680914) + -1.0226151),1.4558446304550807,(2.680914*d_var - 1.0226151)*(sqrt(d_var/(m1_var*m2_var)) + 1.4164481/G_var),PySRFunction(X=>(2.680914*d_var - 1.0226151)*(sqrt(d_var/(m1_var*m2_var)) + 1.4164481/G_var)),test_5
3,327.48572,c_var * 16.339104,0.45268173734504347,c_var*16.339104,PySRFunction(X=>c_var*16.339104),test_16
23,9.187141,((((((hbar_var / E_n_var) / theta_var) / theta_var) * (6.8007245 / theta_var)) * (c_var * c_var)) / E_n_var) * ((Z_1_var * Z_2_var) ^ alpha_var),0.3572999017207444,hbar_var*6.8007245*c_var*c_var*(Z_1_var*Z_2_var)**alpha_var/(E_n_var*theta_var*theta_var*theta_var*E_n_var),PySRFunction(X=>hbar_var*6.8007245*c_var*c_var*(Z_1_var*Z_2_var)**alpha_var/(E_n_var*theta_var*theta_var*theta_var*E_n_var)),test_1
5,0.38964418,I_0_var / (delta_var / n_var),0.553841640258669,I_0_var/((delta_var/n_var)),PySRFunction(X=>I_0_var/((delta_var/n_var))),test_11
6,0.014825444,sqrt(rho_var * (G_var * 8.086751)),1.9769100883538102,2.8437213295258*sqrt(G_var*rho_var),PySRFunction(X=>2.8437213295258*sqrt(G_var*rho_var)),test_7
11,0.0014642822,(((v_var / c_var) + (theta2_var + -0.8044722)) / 0.3146581) ^ 0.5268578,0.8186613714838584,((theta2_var - 0.8044722 + v_var/c_var)/0.3146581)**0.5268578,PySRFunction(X=>((theta2_var - 0.8044722 + v_var/c_var)/0.3146581)**0.5268578),test_10
10,97.79864,8.235918 * ((d_var - r_var) * cos(theta_var / -0.99842227)),0.27862462048106457,8.235918*(d_var - r_var)*cos(theta_var/(-0.99842227)),PySRFunction(X=>8.235918*(d_var - r_var)*cos(theta_var/(-0.99842227))),test_14
