complexity,loss,equation,score,sympy_format,lambda_format,Filename
7,0.0016451393,((alpha_var / d_var) / n_var) * 6.2830334,3.5810307374585237,alpha_var*6.2830334/(d_var*n_var),PySRFunction(X=>alpha_var*6.2830334/(d_var*n_var)),III.15.27
3,0.6115897,kb_var * T_var,3.5779871136231662,T_var*kb_var,PySRFunction(X=>T_var*kb_var),III.4.33
3,35.262974,1.0963582 ^ magnetic_flux_var,0.8822013199608236,1.0963582**magnetic_flux_var,PySRFunction(X=>1.0963582**magnetic_flux_var),I.24.6
16,15.049822,(((t_var / h_var) * Ef_var) * p_d_var) * ((cos(omega_var - omega_0_var) + 1.4017688) ^ 2.115792),0.33496532084336567,Ef_var*p_d_var*t_var*(cos(-omega_0_var + omega_var) + 1.4017688)**2.115792/h_var,PySRFunction(X=>Ef_var*p_d_var*t_var*(cos(-omega_0_var + omega_var) + 1.4017688)**2.115792/h_var),III.9.52
6,0.011911478,omega_0_var * exp(v_var / c_var),3.050572920838843,omega_0_var*exp(v_var/c_var),PySRFunction(X=>omega_0_var*exp(v_var/c_var)),I.34.14
7,0.34140012,B_var * ((mom_var / h_var) * 12.567903),2.986469172579299,B_var*mom_var*12.567903/h_var,PySRFunction(X=>B_var*mom_var*12.567903/h_var),III.7.38
8,0.004291137,-0.0004256974 - (mom_var * (B_var * cos(theta_var))),3.411872686618669,-B_var*mom_var*cos(theta_var) - 0.0004256974,PySRFunction(X=>-B_var*mom_var*cos(theta_var) - 0.0004256974),II.15.4
9,0.36117467,log(T_var) * ((omega_var / c_var) ^ sqrt(kb_var)),1.6626077909448769,(omega_var/c_var)**(sqrt(kb_var))*log(T_var),PySRFunction(X=>(omega_var/c_var)**(sqrt(kb_var))*log(T_var)),I.41.16
4,13.514406,sin(F_var) * 9.032104,1.131357460410868,sin(F_var)*9.032104,PySRFunction(X=>sin(F_var)*9.032104),I.18.12
10,0.0005837913,q_var * ((omega_0_var / (exp(omega_0_var) / Ef_var)) / m_var),1.5842518648464805,omega_0_var*q_var/(m_var*((exp(omega_0_var)/Ef_var))),PySRFunction(X=>omega_0_var*q_var/(m_var*((exp(omega_0_var)/Ef_var)))),II.11.3
7,0.00016283512,(0.110240564 / epsilon_var) * (q_var / r_var),0.8029353458607711,0.110240564*q_var/(epsilon_var*r_var),PySRFunction(X=>0.110240564*q_var/(epsilon_var*r_var)),II.21.32
15,2.401885e-06,(sin(theta_var) * (cos(theta_var) * (p_d_var / epsilon_var))) / ((6.1960096 ^ r_var) - 1.84791),0.9693971348742333,p_d_var*sin(theta_var)*cos(theta_var)/(epsilon_var*(6.1960096**r_var - 1*1.84791)),PySRFunction(X=>p_d_var*sin(theta_var)*cos(theta_var)/(epsilon_var*(6.1960096**r_var - 1*1.84791))),II.6.15b
11,8.9062195,(Jz_var * ((g__var / (h_var / B_var)) * 6.282483)) * mom_var,6.5549335666523785,Jz_var*g__var*6.282483*mom_var/(h_var/B_var),PySRFunction(X=>Jz_var*g__var*6.282483*mom_var/(h_var/B_var)),II.34.29b
5,0.10948858,m_var * (g_var * z_var),3.3544590756275574,g_var*m_var*z_var,PySRFunction(X=>g_var*m_var*z_var),I.14.3
13,5.697374,m1_var * (log(r1_var * (r2_var ^ -1.012326)) * (m2_var ^ log(G_var))),0.8628300856671539,m1_var*m2_var**log(G_var)*log(r1_var/r2_var**1.012326),PySRFunction(X=>m1_var*m2_var**log(G_var)*log(r1_var/r2_var**1.012326)),I.13.12
6,0.001493162,m_0_var / cos(v_var / c_var),2.0981432925646972,m_0_var/cos(v_var/c_var),PySRFunction(X=>m_0_var/cos(v_var/c_var)),I.10.7
3,0.010568444,q2_var * Ef_var,3.3219514148852265,Ef_var*q2_var,PySRFunction(X=>Ef_var*q2_var),I.12.5
7,0.022332482,mu_drift_var * (q_var / (d_var / Volt_var)),3.564848090494881,mu_drift_var*q_var/((d_var/Volt_var)),PySRFunction(X=>mu_drift_var*q_var/((d_var/Volt_var))),I.43.16
8,0.0043854406,(0.00041298405 - Ef_var) * (p_d_var * cos(theta_var)),3.5285004666877984,p_d_var*(0.00041298405 - Ef_var)*cos(theta_var),PySRFunction(X=>p_d_var*(0.00041298405 - Ef_var)*cos(theta_var)),II.15.5
