complexity,loss,equation,score,sympy_format,lambda_format,Filename
7,0.0016451465,alpha_var / ((n_var * 0.15915526) * d_var),5.825290585167284,alpha_var/((n_var*0.15915526*d_var)),PySRFunction(X=>alpha_var/((n_var*0.15915526*d_var))),III.15.27
3,0.6115897,kb_var * T_var,3.591170520465951,T_var*kb_var,PySRFunction(X=>T_var*kb_var),III.4.33
11,1.1924436,(m_var * (x_var * ((omega_var + -1.8354919) + omega_0_var))) * x_var,0.8028059699701626,m_var*x_var*x_var*(omega_0_var + omega_var - 1.8354919),PySRFunction(X=>m_var*x_var*x_var*(omega_0_var + omega_var - 1.8354919)),I.24.6
11,51.929817,exp(Ef_var + cos(omega_0_var - omega_var)) * (p_d_var / h_var),0.43007350546426537,p_d_var*exp(Ef_var + cos(omega_0_var - omega_var))/h_var,PySRFunction(X=>p_d_var*exp(Ef_var + cos(omega_0_var - omega_var))/h_var),III.9.52
6,0.011911478,exp(v_var / c_var) * omega_0_var,3.0508701041550608,omega_0_var*exp(v_var/c_var),PySRFunction(X=>omega_0_var*exp(v_var/c_var)),I.34.14
7,0.3413896,((mom_var * 12.567414) * B_var) / h_var,6.5329559465021845,mom_var*12.567414*B_var/h_var,PySRFunction(X=>mom_var*12.567414*B_var/h_var),III.7.38
8,0.0042911517,-0.0006038652 - (mom_var * (cos(theta_var) * B_var)),3.584242763763857,-B_var*mom_var*cos(theta_var) - 0.0006038652,PySRFunction(X=>-B_var*mom_var*cos(theta_var) - 0.0006038652),II.15.4
9,0.3530118,log(kb_var) * ((omega_var / c_var) ^ sqrt(T_var)),1.6967896544854406,(omega_var/c_var)**(sqrt(T_var))*log(kb_var),PySRFunction(X=>(omega_var/c_var)**(sqrt(T_var))*log(kb_var)),I.41.16
4,13.5144825,sin(F_var) * 9.047488,1.1313511314277167,sin(F_var)*9.047488,PySRFunction(X=>sin(F_var)*9.047488),I.18.12
9,0.00047937498,q_var * (Ef_var * ((0.52463 ^ omega_0_var) / m_var)),1.119134703331251,0.52463**omega_0_var*Ef_var*q_var/m_var,PySRFunction(X=>0.52463**omega_0_var*Ef_var*q_var/m_var),II.11.3
14,4.8649126e-06,(log(magnetic_flux_var) ^ (v_var / c_var)) * ((0.07338475 / epsilon_var) * (q_var / r_var)),1.7655247986975375,0.07338475*q_var*log(magnetic_flux_var)**(v_var/c_var)/(epsilon_var*r_var),PySRFunction(X=>0.07338475*q_var*log(magnetic_flux_var)**(v_var/c_var)/(epsilon_var*r_var)),II.21.32
13,1.7479415e-05,(p_d_var * cos(theta_var)) / (((5.301986 ^ r_var) / sin(theta_var)) * epsilon_var),1.889943844034563,p_d_var*cos(theta_var)/((5.301986**r_var*epsilon_var/sin(theta_var))),PySRFunction(X=>p_d_var*cos(theta_var)/((5.301986**r_var*epsilon_var/sin(theta_var)))),II.6.15b
7,10735.573,(Jz_var * (1.0679336 ^ luminosity_var)) / h_var,0.6814211937290404,1.0679336**luminosity_var*Jz_var/h_var,PySRFunction(X=>1.0679336**luminosity_var*Jz_var/h_var),II.34.29b
5,0.10948858,(z_var * g_var) * m_var,3.1804098495324884,g_var*m_var*z_var,PySRFunction(X=>g_var*m_var*z_var),I.14.3
19,0.23200993,log(r1_var / r2_var) * (((exp(r2_var) ^ (r1_var * -0.3749201)) + 0.30200958) * (m2_var * (G_var * m1_var))),2.3752805890778146,G_var*m1_var*m2_var*(0.30200958 + exp(r2_var)**(-0.3749201*r1_var))*log(r1_var/r2_var),PySRFunction(X=>G_var*m1_var*m2_var*(0.30200958 + exp(r2_var)**(-0.3749201*r1_var))*log(r1_var/r2_var)),I.13.12
8,0.00188811,exp((c_var / v_var) ^ -2.6744535) * m_0_var,1.0418143384491658,m_0_var*exp((c_var/v_var)**(-2.6744535)),PySRFunction(X=>m_0_var*exp((c_var/v_var)**(-2.6744535))),I.10.7
3,0.010568444,Ef_var * q2_var,7.587362298841362,Ef_var*q2_var,PySRFunction(X=>Ef_var*q2_var),I.12.5
7,0.022332484,((Volt_var * q_var) * mu_drift_var) / d_var,3.7644496335508513,Volt_var*mu_drift_var*q_var/d_var,PySRFunction(X=>Volt_var*mu_drift_var*q_var/d_var),I.43.16
8,0.004385572,(cos(theta_var) * p_d_var) * (0.00021861168 - Ef_var),3.5728534196877155,p_d_var*(0.00021861168 - Ef_var)*cos(theta_var),PySRFunction(X=>p_d_var*(0.00021861168 - Ef_var)*cos(theta_var)),II.15.5
10,0.078420095,(Ef_var + (sin(theta_var) * (B_var * v_var))) * q_var,3.6147216914938514,q_var*(B_var*v_var*sin(theta_var) + Ef_var),PySRFunction(X=>q_var*(B_var*v_var*sin(theta_var) + Ef_var)),I.12.11
11,3.7935401e-06,exp(sin((theta_var / (magnetic_flux_var * 0.35815662)) + 0.28412634)) / temperature_var,1.205486206689394,exp(sin(theta_var/((magnetic_flux_var*0.35815662)) + 0.28412634))/temperature_var,PySRFunction(X=>exp(sin(theta_var/((magnetic_flux_var*0.35815662)) + 0.28412634))/temperature_var),I.6.2
11,2.437964,(omega_var ^ 2.2918727) ^ (omega_var + (Ef_var - (omega_0_var - r_var))),0.7473600369142585,(omega_var**2.2918727)**(Ef_var + omega_var - (omega_0_var - r_var)),PySRFunction(X=>(omega_var**2.2918727)**(Ef_var + omega_var - (omega_0_var - r_var))),I.32.17
5,0.04348719,x_var - (u_var * t_var),1.1052713063771469,-t_var*u_var + x_var,PySRFunction(X=>-t_var*u_var + x_var),I.15.3x
7,0.04036484,(luminosity_var * k_spring_var) * (x_var * 0.4999281),2.2128541332253375,luminosity_var*k_spring_var*x_var*0.4999281,PySRFunction(X=>luminosity_var*k_spring_var*x_var*0.4999281),I.14.4
3,42.087082,magnetic_flux_var * 0.2857932,0.11396712184823418,magnetic_flux_var*0.2857932,PySRFunction(X=>magnetic_flux_var*0.2857932),III.10.19
12,0.52018017,exp(sin((n_var * theta_var) - 1.5815744) + cos(theta_var)) * Int_0_var,0.8048528630359084,Int_0_var*exp(sin(n_var*theta_var - 1*1.5815744) + cos(theta_var)),PySRFunction(X=>Int_0_var*exp(sin(n_var*theta_var - 1*1.5815744) + cos(theta_var))),I.30.3
7,0.02186262,(q_var / p_var) * (v_var * B_var),3.097142538940069,B_var*q_var*v_var/p_var,PySRFunction(X=>B_var*q_var*v_var/p_var),I.34.8
5,0.11238452,(T_var * mob_var) * kb_var,2.947582431346138,T_var*kb_var*mob_var,PySRFunction(X=>T_var*kb_var*mob_var),I.43.31
9,1.0596001e-07,(q1_var / 12.568075) / (epsilon_var * (r_var * r_var)),5.1478443874614594,q1_var/(12.568075*((epsilon_var*r_var*r_var))),PySRFunction(X=>q1_var/(12.568075*((epsilon_var*r_var*r_var)))),I.12.4
13,6.294173e-05,(((0.3679024 ^ x_var) ^ ((g_var / kb_var) / T_var)) ^ m_var) * n_0_var,3.5921596630227643,n_0_var*((0.3679024**x_var)**(g_var/(T_var*kb_var)))**m_var,PySRFunction(X=>n_0_var*((0.3679024**x_var)**(g_var/(T_var*kb_var)))**m_var),I.40.1
7,7.2088835e-05,d2_var / ((d2_var / d1_var) + n_var),5.653239679117635,d2_var/(n_var + d2_var/d1_var),PySRFunction(X=>d2_var/(n_var + d2_var/d1_var)),I.27.6
11,3.0508466,(((kb_var / temperature_var) * (T_var * 1806.9597)) / temperature_var) ^ 1.5384744,0.5217905561169105,(kb_var*T_var*1806.9597/(temperature_var*temperature_var))**1.5384744,PySRFunction(X=>(kb_var*T_var*1806.9597/(temperature_var*temperature_var))**1.5384744),III.4.32
3,0.057153992,r_var ^ -3.5783086,0.4548419690768711,r_var**(-3.5783086),PySRFunction(X=>r_var**(-3.5783086)),II.6.15a
8,0.05059163,(cos(delta_var) + 1.016627) * (I1_var + I2_var),2.2567536197312705,(I1_var + I2_var)*(cos(delta_var) + 1.016627),PySRFunction(X=>(I1_var + I2_var)*(cos(delta_var) + 1.016627)),I.37.4
9,0.0005410228,(v_var * kb_var) / ((gamma_var + -1.0001284) * A_var),6.415574419120257,kb_var*v_var/((A_var*(gamma_var - 1.0001284))),PySRFunction(X=>kb_var*v_var/((A_var*(gamma_var - 1.0001284)))),I.43.43
9,1.3900441e-06,(q_var / 20.946075) / (epsilon_var * (d_var / q_var)),2.8992069891644365,q_var/(20.946075*((d_var*epsilon_var/q_var))),PySRFunction(X=>q_var/(20.946075*((d_var*epsilon_var/q_var)))),II.8.7
3,0.0013092594,0.34804747 / sigma_var,0.5123360761321271,0.34804747/sigma_var,PySRFunction(X=>0.34804747/sigma_var),I.6.2b
7,5.364821e-05,(q_var * (v_var / 6.283272)) / r_var,2.850681346656152,q_var*v_var/(6.283272*r_var),PySRFunction(X=>q_var*v_var/(6.283272*r_var)),II.34.2a
11,0.00078121654,epsilon_var * (Ef_var * ((n_var * (alpha_var * 1.3248053)) ^ 1.1908315)),1.0799149504538492,Ef_var*epsilon_var*(n_var*alpha_var*1.3248053)**1.1908315,PySRFunction(X=>Ef_var*epsilon_var*(n_var*alpha_var*1.3248053)**1.1908315),II.11.27
9,0.002038317,omega_0_var - (omega_0_var / (0.9996543 - (c_var / v_var))),3.9083512294330025,omega_0_var - omega_0_var/(0.9996543 - c_var/v_var),PySRFunction(X=>omega_0_var - omega_0_var/(0.9996543 - c_var/v_var)),I.34.1
12,5.1104365e-08,(cos(theta_var) * p_d_var) / ((r_var * r_var) * (epsilon_var / 0.07957809)),3.137501464940393,p_d_var*cos(theta_var)/((epsilon_var*r_var*r_var/0.07957809)),PySRFunction(X=>p_d_var*cos(theta_var)/((epsilon_var*r_var*r_var/0.07957809))),II.6.11
13,0.007302539,((((p_d_var / (2.9996667 * kb_var)) * Ef_var) / T_var) * n_rho_var) * p_d_var,3.933761228351787,Ef_var*n_rho_var*p_d_var*p_d_var/(T_var*((2.9996667*kb_var))),PySRFunction(X=>Ef_var*n_rho_var*p_d_var*p_d_var/(T_var*((2.9996667*kb_var)))),II.11.20
5,5.716543e-05,I_var * (0.86201525 ^ pressure_var),0.7093579207147614,0.86201525**pressure_var*I_var,PySRFunction(X=>0.86201525**pressure_var*I_var),II.13.17
8,0.0062811445,t_var + (log(t_var / x_var) / c_var),0.3195074494626798,t_var + log(t_var/x_var)/c_var,PySRFunction(X=>t_var + log(t_var/x_var)/c_var),I.15.3t
7,0.18598028,((chi_var - -1.000239) * mom_var) * B_var,5.290494109720467,B_var*mom_var*(chi_var - 1*(-1.000239)),PySRFunction(X=>B_var*mom_var*(chi_var - 1*(-1.000239))),II.37.1
11,53.572987,(((d_var * k_var) * 12.564864) * d_var) * (E_n_var / h_var),2.824605664225462,d_var*k_var*12.564864*d_var*E_n_var/h_var,PySRFunction(X=>d_var*k_var*12.564864*d_var*E_n_var/h_var),III.13.18
7,2.6429163e-07,(q_var / (epsilon_var * r_var)) * 0.079566814,3.3601621948042566,q_var*0.079566814/(epsilon_var*r_var),PySRFunction(X=>q_var*0.079566814/(epsilon_var*r_var)),II.4.23
9,0.0056739273,(((T2_var - T1_var) / d_var) * kappa_var) * A_var,7.655332023564085,A_var*kappa_var*(-T1_var + T2_var)/d_var,PySRFunction(X=>A_var*kappa_var*(-T1_var + T2_var)/d_var),II.2.42
5,0.165058,(Ef_var * epsilon_var) * Ef_var,2.453240046230218,Ef_var*Ef_var*epsilon_var,PySRFunction(X=>Ef_var*Ef_var*epsilon_var),II.27.18
5,0.00026524547,omega_var * (0.15914994 * h_var),6.028352647043756,omega_var*0.15914994*h_var,PySRFunction(X=>omega_var*0.15914994*h_var),I.34.27
10,5.743598,(((I_0_var + exp(q_var)) / T_var) / kb_var) ^ Volt_var,1.0675497366911064,((I_0_var + exp(q_var))/(T_var*kb_var))**Volt_var,PySRFunction(X=>((I_0_var + exp(q_var))/(T_var*kb_var))**Volt_var),III.14.14
12,0.0066677644,U_var * ((sin((d_var * k_var) + -1.5711604) * 2.0035992) + 1.9984188),5.200938846923748,U_var*(sin(d_var*k_var - 1.5711604)*2.0035992 + 1.9984188),PySRFunction(X=>U_var*(sin(d_var*k_var - 1.5711604)*2.0035992 + 1.9984188)),III.15.12
7,1.3460258e-05,((q_var * 0.07957862) / m_var) * h_var,3.309344731414851,q_var*0.07957862*h_var/m_var,PySRFunction(X=>q_var*0.07957862*h_var/m_var),II.34.29a
19,0.38584223,(((n_var / ((V1_var * V2_var) * -0.17792548)) - n_var) * ((V2_var - V1_var) * kb_var)) * (T_var * -0.19744334),3.3965283859514046,(-n_var + n_var/((V1_var*V2_var*(-0.17792548))))*(-V1_var + V2_var)*kb_var*T_var*(-0.19744334),PySRFunction(X=>(-n_var + n_var/((V1_var*V2_var*(-0.17792548))))*(-V1_var + V2_var)*kb_var*T_var*(-0.19744334)),I.44.4
8,0.11511184,0.48496032 + (sin(pressure_var / h_var) / temperature_var),0.03494801962691328,0.48496032 + sin(pressure_var/h_var)/temperature_var,PySRFunction(X=>0.48496032 + sin(pressure_var/h_var)/temperature_var),III.8.54
9,0.004033294,((m2_var * G_var) / x1_var) / (y1_var / m1_var),0.34567081073472616,G_var*m2_var/(x1_var*((y1_var/m1_var))),PySRFunction(X=>G_var*m2_var/(x1_var*((y1_var/m1_var)))),I.9.18
13,0.07856884,((alpha_var * (c_var ^ -1.8581845)) + H_var) / (kb_var / (mom_var / T_var)),0.6184969596400576,(H_var + alpha_var/c_var**1.8581845)/((kb_var/((mom_var/T_var)))),PySRFunction(X=>(H_var + alpha_var/c_var**1.8581845)/((kb_var/((mom_var/T_var))))),II.36.38
11,4.1689653e-08,0.012666393 / ((((E_n_var / h_var) * d_var) * d_var) / h_var),5.06644233047268,0.012666393/((E_n_var*d_var*d_var/(h_var*h_var))),PySRFunction(X=>0.012666393/((E_n_var*d_var*d_var/(h_var*h_var)))),III.15.14
11,0.0071641663,(((a_var / entropy_var) * 3.1815498) * (q_var / c_var)) ^ 2.1149049,2.2147265760154053,(a_var*3.1815498*q_var/(entropy_var*c_var))**2.1149049,PySRFunction(X=>(a_var*3.1815498*q_var/(entropy_var*c_var))**2.1149049),I.32.5
4,196.99316,luminosity_var * sin(v_var),0.6414321315238091,luminosity_var*sin(v_var),PySRFunction(X=>luminosity_var*sin(v_var)),I.18.14
3,10.192333,mom_var * n_rho_var,0.8338454116044963,mom_var*n_rho_var,PySRFunction(X=>mom_var*n_rho_var),II.35.21
9,0.0055724615,((g__var * (B_var / m_var)) * 0.49998304) * q_var,5.84223369181328,g__var*B_var*0.49998304*q_var/m_var,PySRFunction(X=>g__var*B_var*0.49998304*q_var/m_var),II.34.11
20,0.08319603,((((((x1_var / x2_var) ^ x2_var) + 0.19670647) ^ (x1_var - x2_var)) ^ 0.22227012) + 0.675622) - cos(y1_var - y2_var),0.5888139371884612,(((x1_var/x2_var)**x2_var + 0.19670647)**(x1_var - x2_var))**0.22227012 - cos(y1_var - y2_var) + 0.675622,PySRFunction(X=>(((x1_var/x2_var)**x2_var + 0.19670647)**(x1_var - x2_var))**0.22227012 - cos(y1_var - y2_var) + 0.675622),I.8.14
7,2.1517288e-05,(Y_var / (sigma_var + 0.9987833)) * 0.49981463,4.317338641151241,Y_var*0.49981463/(sigma_var + 0.9987833),PySRFunction(X=>Y_var*0.49981463/(sigma_var + 0.9987833)),II.38.14
3,0.11923755,v_var * rho_c_0_var,3.4172313723123326,rho_c_0_var*v_var,PySRFunction(X=>rho_c_0_var*v_var),II.13.34
12,0.9341908,exp((n_var * (h_var / -1.526254)) + m_var) / (0.20852664 - q_var),0.5115894585273736,exp(h_var*n_var/(-1.526254) + m_var)/(0.20852664 - q_var),PySRFunction(X=>exp(h_var*n_var/(-1.526254) + m_var)/(0.20852664 - q_var)),III.19.51
11,1.1164959e-06,((q2_var * q1_var) * (r_var ^ -1.999424)) / (epsilon_var / 0.07959791),6.162498473399154,q1_var*q2_var/(r_var**1.999424*((epsilon_var/0.07959791))),PySRFunction(X=>q1_var*q2_var/(r_var**1.999424*((epsilon_var/0.07959791)))),I.12.2
7,0.027878558,r_var * ((v_var * 0.49993747) * q_var),2.9012215132035046,r_var*v_var*0.49993747*q_var,PySRFunction(X=>r_var*v_var*0.49993747*q_var),II.34.2
6,1.9595939,6.188074 ^ cos(t_var * omega_var),0.32736050920934834,6.188074**cos(omega_var*t_var),PySRFunction(X=>6.188074**cos(omega_var*t_var)),I.50.26
